지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),condition
90,속초,2022-05-09,13.6,,1.4,67.5,1017.1,clear
90,속초,2022-05-10,13.5,,2.3,65.3,1015.5,clouds
90,속초,2022-05-11,15.2,0.1,1.6,77.9,1012.2,rain
90,속초,2022-05-12,14,,2.8,80,1011.9,clouds
90,속초,2022-05-13,12.1,0.1,1.7,81,1008.5,clouds
90,속초,2022-05-14,16,,2.3,41,1007.2,clouds
90,속초,2022-05-15,15.4,,2.3,41.9,1010,clear
90,속초,2022-05-16,19.2,,3,37.8,1006.7,clouds
90,속초,2022-05-17,19.4,0.1,2.1,50,1009.5,rain
90,속초,2022-05-18,23.5,0.1,2.3,35.6,1010.8,rain
90,속초,2022-05-19,21.1,,2.2,49.4,1011.9,clouds
90,속초,2022-05-20,23.1,,1.8,33,1008.5,clouds
90,속초,2022-05-21,24.5,,1.8,41.1,1003.5,clear
90,속초,2022-05-22,20,0.1,1.7,63.9,1004.4,rain
90,속초,2022-05-23,18.6,,1.9,76,1008.7,clear
90,속초,2022-05-24,24.6,,2,50.5,1008.9,clouds
90,속초,2022-05-25,22.4,0.1,2.1,52.8,1003.9,rain
90,속초,2022-05-26,20.8,1.4,2.6,42.5,999.1,rain
90,속초,2022-05-27,19.7,0.1,2.5,54.1,996.7,rain
90,속초,2022-05-28,26.5,,2.7,32.5,999.3,clouds
90,속초,2022-05-29,22.5,,2.5,50.4,1001.3,clear
90,속초,2022-05-30,16.9,0.1,3,85.8,1000.6,rain
90,속초,2022-05-31,20.9,,2.1,51.3,1003.4,clear
90,속초,2022-06-01,20.7,,1.7,44.4,1002.8,clouds
90,속초,2022-06-02,21.3,,1.8,57,1003.4,clear
90,속초,2022-06-03,19.1,0.1,2.7,80.4,1010.8,rain
90,속초,2022-06-04,18.7,0.1,3.3,83,1010.8,rain
90,속초,2022-06-05,17.5,14.1,3.4,91,1004,rain
90,속초,2022-06-06,14.1,75.4,4.3,93.6,1003.4,rain
90,속초,2022-06-07,13.6,2.8,2.1,87,1008.9,rain
90,속초,2022-06-08,15.8,,1.6,75.5,1011.7,clouds
90,속초,2022-06-09,15.6,0.1,1,87.4,1012.4,rain
90,속초,2022-06-10,17.8,,1.1,85.8,1011.9,clouds
90,속초,2022-06-11,17.8,,1.6,92,1013.5,clouds
90,속초,2022-06-12,18.7,0.1,1.8,85.4,1012.8,rain
90,속초,2022-06-13,18.4,0.1,1.7,86.1,1011.5,rain
90,속초,2022-06-14,17.3,0.1,1.7,80.9,1011.4,rain
90,속초,2022-06-15,14.8,9.2,1.6,89.5,1006.2,rain
90,속초,2022-06-16,18.7,5.4,1.5,81.4,1004,rain
90,속초,2022-06-17,23.6,,2.1,60.8,1003.4,clouds
90,속초,2022-06-18,24.6,0.1,1.7,67,1003.5,rain
90,속초,2022-06-19,23.9,,1.7,74.8,1003.7,clouds
90,속초,2022-06-20,24.5,,1.3,73,1002.2,clear
90,속초,2022-06-21,22.2,,1.5,88.4,1002.2,clouds
90,속초,2022-06-22,22.3,,1.7,91.9,1003.8,clouds
90,속초,2022-06-23,21.3,54.8,1.2,96.5,997.2,rain
90,속초,2022-06-24,26.2,11.7,2.1,66.6,991.8,rain
90,속초,2022-06-25,29.8,,2.4,45.9,998.9,clear
90,속초,2022-06-26,26.4,19.9,2,72.3,1004.7,rain
90,속초,2022-06-27,24.4,19.9,1.2,87.1,1004.5,rain
90,속초,2022-06-28,29.4,0.4,2.9,61.4,997.8,rain
90,속초,2022-06-29,27.1,0.6,2,74.5,1000.1,rain
90,속초,2022-06-30,22.1,34.3,1.3,95.6,1007.8,rain
90,속초,2022-07-01,24.1,,1.5,85.8,1011.6,clouds
90,속초,2022-07-02,25.1,,1.7,83.4,1010.5,clouds
90,속초,2022-07-03,26.7,,1.2,78.4,1006,clouds
90,속초,2022-07-04,27.4,,1.2,74.4,1003.7,clouds
90,속초,2022-07-05,25.6,0.1,1.2,87.5,1004.4,rain
90,속초,2022-07-06,25.6,0.1,1.5,87.3,1007.6,rain
90,속초,2022-07-07,25.4,1.4,1.2,90.1,1003.6,rain
90,속초,2022-07-08,28.3,0.1,1.1,72.4,998.9,rain
90,속초,2022-07-09,25.9,0.1,1.4,85.5,1000.5,rain
90,속초,2022-07-10,24,1.3,1.8,89.6,1004.7,rain
90,속초,2022-07-11,22.8,28.8,1.8,94.5,1005.2,rain
90,속초,2022-07-12,21.7,3,0.8,90.8,1008.5,rain
90,속초,2022-07-13,21.6,26.9,2,94.9,1002.5,rain
90,속초,2022-07-14,22.1,0.1,2.2,88.5,997.7,rain
90,속초,2022-07-15,22.1,21.1,1.6,89,997,rain
90,속초,2022-07-16,22.8,0.3,1.3,90.5,996.9,rain
90,속초,2022-07-17,23.1,,1.3,88.3,998,clouds
90,속초,2022-07-18,24.4,,1.3,89,997.7,clouds
90,속초,2022-07-19,24.7,0.4,1.1,86.9,999.7,rain
90,속초,2022-07-20,26.2,0.7,1.1,79.3,1003.1,rain
90,속초,2022-07-21,21.2,87.2,2.3,95.8,1001.6,rain
90,속초,2022-07-22,22.2,9.4,1.4,91.4,1004.4,rain
90,속초,2022-07-23,22.9,12.1,2.2,87.4,1004.4,rain
90,속초,2022-07-24,23.4,3.3,2,91.1,1001.7,rain
90,속초,2022-07-25,23.6,,1.5,87.1,1007,clouds
90,속초,2022-07-26,23.9,0.1,1.3,87.6,1009.5,clouds
90,속초,2022-07-27,24.7,,1.6,86.8,1010.2,clouds
90,속초,2022-07-28,25,0.1,1.6,88.1,1011.6,rain
90,속초,2022-07-29,25.5,,1,89,1012.2,clouds
90,속초,2022-07-30,26.2,0.1,1.5,89.5,1010.2,rain
90,속초,2022-07-31,25,17.2,0.6,95.9,1006.7,rain
90,속초,2022-08-01,25.4,6.1,1.1,93.4,1004.7,rain
90,속초,2022-08-02,25.8,14.8,1.1,93,1006,rain
90,속초,2022-08-03,29.5,0.3,1.2,75,1005.4,rain
90,속초,2022-08-04,28,11.3,1.3,85.5,1005.6,rain
90,속초,2022-08-05,29.3,0.1,1.4,74.8,1002.2,rain
90,속초,2022-08-06,30.2,,1,70.8,1002.1,clouds
90,속초,2022-08-07,28.8,0.5,1,81,1002.8,rain
90,속초,2022-08-08,27.8,21.4,1.5,78.9,1001.2,rain
90,속초,2022-08-09,24.6,110.9,1.5,90.3,1003.6,rain
90,속초,2022-08-10,23.6,24.9,1.3,87,1004.2,rain
90,속초,2022-08-11,24.8,1.6,1.5,87.9,1001.5,rain
90,속초,2022-08-12,25.8,,1.3,73.6,1003.4,clear
90,속초,2022-08-13,24.9,0.3,1,87.5,1003.2,rain
90,속초,2022-08-14,25.7,20.5,1.3,86.5,1003.8,rain
90,속초,2022-08-15,28.4,1.8,1.7,73.5,995.3,rain
90,속초,2022-08-16,25.9,25.3,1.8,81.9,1001.1,rain
90,속초,2022-08-17,22.7,28.5,1.1,92.3,1006,rain
90,속초,2022-08-18,23.7,,1.6,86.6,1004.9,clouds
90,속초,2022-08-19,24.8,0.1,1.1,77.8,998.5,rain
90,속초,2022-08-20,23.5,0.1,1.4,84.6,1001.3,rain
90,속초,2022-08-21,23.3,,1.4,83.8,1004.3,clouds
90,속초,2022-08-22,24.4,0.1,1.1,82.3,1001.1,rain
90,속초,2022-08-23,23.5,0.1,1.7,77.3,1004.8,rain
90,속초,2022-08-24,21.5,0.1,1.2,82.3,1007.9,rain
90,속초,2022-08-25,21.8,0.6,0.8,78.6,1004,rain
90,속초,2022-08-26,23.9,,1.5,68.5,1003.5,clouds
90,속초,2022-08-27,21.5,0.1,2,57.5,1007,rain
90,속초,2022-08-28,20.8,,1.6,65.1,1014.1,clear
90,속초,2022-08-29,20.4,0.1,0.9,79.5,1014.1,rain
90,속초,2022-08-30,19,34.7,1.2,92.9,1010.8,rain
90,속초,2022-08-31,19.5,20,2,89.9,1008.2,rain
90,속초,2022-09-01,21,,1.7,80.4,1012,clouds
90,속초,2022-09-02,21.5,0.9,1.2,80.3,1017.1,rain
90,속초,2022-09-03,21.4,,1.4,80.1,1015.8,clouds
90,속초,2022-09-04,20.3,10.8,1.2,93.4,1008.9,rain
90,속초,2022-09-05,18.7,119.4,2,95.6,1007.2,rain
90,속초,2022-09-06,21.1,87.6,3,71.6,1001.6,rain
90,속초,2022-09-07,22.8,,1.7,56.5,1013.2,clear
90,속초,2022-09-08,21,,1.5,76.3,1016.7,clear
90,속초,2022-09-09,19.9,,1.4,79.5,1017.4,clouds
90,속초,2022-09-10,20.9,,2.1,77.9,1018.2,clouds
90,속초,2022-09-11,21.9,0.2,1.3,83.4,1014.8,rain
90,속초,2022-09-12,21.7,,1.2,84.1,1012.9,clouds
90,속초,2022-09-13,22.1,,1.2,88.3,1016.7,clouds
90,속초,2022-09-14,22.6,3.5,2.1,85,1018.9,rain
90,속초,2022-09-15,22.4,,2.4,77.1,1013.4,clouds
90,속초,2022-09-16,21.8,0.1,1.4,85.3,1008.1,rain
90,속초,2022-09-17,22.9,0.1,1.3,88.1,1006.2,rain
90,속초,2022-09-18,23,0.6,1.6,86.8,1004.5,rain
90,속초,2022-09-19,20,40.4,4.3,77,1003.4,rain
90,속초,2022-09-20,15.9,0.4,1.5,70.5,1012.8,rain
90,속초,2022-09-21,16.6,,2.4,70.8,1016.2,clear
90,속초,2022-09-22,17.6,,1.7,71.1,1013.7,clouds
90,속초,2022-09-23,19.3,0,2.2,53,1008.1,clouds
90,속초,2022-09-24,18.9,,2.5,47.3,1012.5,clear
90,속초,2022-09-25,18,,1.2,66.3,1014.1,clouds
90,속초,2022-09-26,18.2,,1.3,69.4,1014.4,clouds
90,속초,2022-09-27,18.2,,1.5,76.5,1014.8,clear
90,속초,2022-09-28,18.2,,1.3,75.6,1010.9,clouds
90,속초,2022-09-29,19.8,,1.5,73.8,1011.3,clear
90,속초,2022-09-30,21.5,,1.6,58.5,1012.1,clear
90,속초,2022-10-01,23.4,,1.4,48.9,1013.8,clouds
